group,tail,type,hex,operator,onMap?,callsign,radio callsign,year,details,parking spot,Notes,media,additional media,Bot Description
Army,72212,UH72,AE1FE3,DCNG rotor wash incident,,,11-72212,2011,Eurocopter UH-72A Lakota,,,https://twitter.com/holy_itsViper/status/1381975195402047495,,DC National Guard Medevac Helicopter that used rotor wash on peaceful protesters June 1st 2020
Army,72214,UH72,AE1FE5,DCNG,,,11-72214,2011,Eurocopter UH-72A Lakota,,,https://twitter.com/districtheli/status/1384512416994758658/photo/1,,
,,,,,,,,,,,,,,
Army,,H60,,Army 12th Avn BN,,,,,Gold Top,"Ft Belvoir, VA",,https://twitter.com/1crazyarchitect/status/1381998756518899712/photo/1,Gold Top (and other serials here: http://www.joebaugher.com/usaf_serials/2009.html,
Army,,H60,,Army 12th Avn BN,,,,,Gold Top,"Ft Belvoir, VA",,https://twitter.com/1crazyarchitect/status/1359258491903496197/photo/1,"09-20193, -20197, -20202, -20216",
Army,,H60,,Army 12th Avn BN,,,,,Gold Top,"Ft Belvoir, VA",,https://twitter.com/1crazyarchitect/status/1325904038253170688,https://foxtrotalpha.jalopnik.com/these-elite-military-helicopter-units-fly-washingtons-p-1704260996,
Army,20197,H60,,Army 12th Avn BN,,,09-20197,,Gold Top VH-60M,"Ft Belvoir, VA",,https://twitter.com/holy_itsViper/status/1381998678513176576/photo/1,,
,,,,,,,,,,,,,,
Army,23013,H60,AE21C1,Army,,,78-23013,,Blackhawk UH-60B,,,seen on adsb,,
Army,24412,H60,AE0A08,Army,,,85-24412,,Blackhawk UH-60A,,,https://twitter.com/districtheli/status/1384530472273944576/photo/2,,
Army,24526,H60,,Army,,,86-24526,,Blackhawk UH-60A,,,https://twitter.com/districtheli/status/1384530472273944576/photo/4,,
Army,__829,H60,,,,,,,Blackhawk,,,https://twitter.com/1crazyarchitect/status/1384277907439185922/photo/1,,
Army,__479,H60,,,,,,,Blackhawk,,,https://twitter.com/holy_itsViper/status/1372239514765291521/photo/2,"H60 tail numbers often have the first 2 digits in black, making them hard to see",
Army,__748,H60,,,,,,,Blackhawk,,,https://twitter.com/holy_itsViper/status/1369415219844374530/photo/1,,
Army,__500,H60,,,,,,,Blackhawk,,,https://twitter.com/markwclancy/status/1329888501689618432/photo/1,,
Army,2_636,H60,,,,,,,Blackhawk,,,https://twitter.com/holy_itsViper/status/1365343997284282368/photo/1,,
Army,__0_3,H60,,,,,,,Blackhawk,,,https://twitter.com/1crazyarchitect/status/1372235319471448066/photo/1,,
Army?,26500,H60,AE0C6C,,,,93-26500,1993,Blackhawk UH-60L,,,https://twitter.com/1crazyarchitect/status/1325904693223170049/photo/1,,
Army?,26837,H60,AE0AB8,,,,99-26837,1999,Blackhawk UH-60L,,,,,
Army,26861,H60,,Army 12th Avn BN,,,00-26861,2000,Blackhawk UH-60L,,,https://twitter.com/1crazyarchitect/status/1359544395519963138/photo/1,,
Army?,26954,H60,AE213F,,,,02-26954,2002,Blackhawk UH-60L,,,https://twitter.com/markwclancy/status/1346535804940808192/photo/1,,
Army?,20173,H60,,,,,08-20173,2008,Blackhawk UH-60M,,,https://twitter.com/holy_itsViper/status/1379481294233538566,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USAF,18277,UH1N,AE624F,USAF 1HS,,MUSEL 10,71-58277,1971,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1382014633083551749/photo/1,https://twitter.com/markwclancy/status/1370402123624636417/photo/1,
USAF,2_5_2,UH1N,,"USAF 1HS, LtCol James Rankin",,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1384551165958963202/photo/1,,
USAF,49188,UH1N,,"USAF 1HS, LtCol James Rankin",,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1385064389016014849/photo/1,https://foxtrotalpha.jalopnik.com/these-elite-military-helicopter-units-fly-washingtons-p-1704260996,
USAF,96604,UH1N,,USAF 1HS LtCol William? Cap ?,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/holy_itsViper/status/1367864670321786881/photo/1,,
USAF,96630,UH1N,,USAF 1HS,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1333137411719704578/photo/3,,
USAF,96637,UH1N,AE6235,USAF 1HS,,MUSEL 18,69-6637,1969,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1371894081262137345/photo/1,,
USAF,96655,UH1N,,USAF 1HS Col Anne-Marie Contreras,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/holy_itsViper/status/1374019689811169280/photo/1,,
USAF,96656,UH1N,,USAF 1HS,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1379902067632930822/photo/1,,
USAF,96657,UH1N,,USAF 1HS Lt Col Thomas Shea? Maj Wyeth Lind..?,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/holy_itsViper/status/1367972845305929730,,
USAF,96658,UH1N,,USAF 1HS,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/holy_itsViper/status/1370504679424200706,,
USAF,96661,UH1N,,"USAF 1HS, Sqdn Cmdr LtCol James Rankin",,,,,CO heritage livery,FedEx Field,,https://twitter.com/holy_itsViper/status/1370439290409398284,,
USAF,96667,UH1N,,USAF 1HS,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1384536603633328128/photo/1,,
